FIN_YEAR,Year,MONTH,Date,QUARTER,STATE,FG,DISTRICT,RAINFALL,COMPANY,VALUE
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Rudra Prayag,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Tehri Garhwal,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Dehradun,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Bageshwar,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Almora,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Champawat,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Nainital,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Udam Singh Nagar,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Haridwar,107.9,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Chamoli,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Rudra Prayag,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Tehri Garhwal,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Dehradun,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Pauri Garhwal,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Pithoragarh,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Bageshwar,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Almora,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Champawat,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Nainital,40.8,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Uttarakhand,Bactericides,Haridwar,40.8,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Gurdaspur,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Kapurthala,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Jalandhar,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Hoshiarpur,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Nawanshahr,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Ludhiana,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Moga,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Muktsar,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Bathinda,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Mansa,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Patiala,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Tarn Taran,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Sangrur,68.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Punjab,Bactericides,Barnala,68.5,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Saharanpur,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Muzaffarnagar,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Bijnor,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Moradabad,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Rampur,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Jyotiba Phule Nagar,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Meerut,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Baghpat,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Gautam Buddha Nagar,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Bulandshahr,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Aligarh,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Mahamaya Nagar,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Mathura,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Agra,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Mainpuri,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Budaun,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Bareilly,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Shahjahanpur,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Kheri,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Sitapur,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Hardoi,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Unnao,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Lucknow,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Rae Bareli,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Farrukhabad,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Kannauj,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Etawah,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Kanpur Dehat,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Kanpur Nagar,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Jalaun,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Jhansi,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Lalitpur,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Hamirpur,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Mahoba,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Banda,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Chitrakoot,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Pratapgarh,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Kaushambi,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Allahabad,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Barabanki,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Faizabad,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Ambedkar Nagar,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Sultanpur,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Bahraich,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Shravasti,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Gonda,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Siddharth Nagar,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Basti,5.65,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Sant Kabeer Nagar,5.65,ABC Manufacturing,0
